0,1,2
"Ayurveda, a form of holistic medicine, is based on the belief that life forces called doshas control how your body works. Pitta dosha controls your digestion, metabolism (how well you break down foods), and certain hormones that are linked to your appetite.",What is pitta dosha in Ayurveda?,Health & Balance
These include:,What are some potential side effects of colon cleansing?,Health & Balance
"Used for thousands of years in China, acupressure is based on the same principles as acupuncture to promote relaxation and wellness and to treat disease. Shiatsu is a Japanese form of acupressure.",What is acupressure?,Health & Balance
"During an acupressure session, you lie fully clothed on a soft massage table. The practitioner use their fingers, palms, elbows, feet, or special devices to gently press on specific points on your body. This is supposed to restore flow and balance to the life energy flowing through you.",What happens during accupressure?,Health & Balance
"But if your stress system stays activated over a long period of time (chronic stress), it can lead to more serious health problems. The constant rush of stress hormones can put a lot of wear and tear on your body, causing it to age more quickly and making it more prone to illness.",What is chronic stress?,Health & Balance
"If you find yourself becoming exhausted after an activity that used to be easy -- for example, walking up the steps -- it may be time to talk to your doctor about the possibility of heart disease.",What are the symptoms of fatigue from heart disease?,Health & Balance
"Fatigue is a lingering tiredness that is constant and limiting. With fatigue, you have unexplained, persistent, and relapsing exhaustion. It's similar to how you feel when you have the flu or have missed a lot of sleep. If you have chronic fatigue, or systemic exertion intolerance disease, you may wake in the morning feeling as though you've not slept. Or you may be unable to function at work or be productive at home. You may be too exhausted even to manage your daily affairs.",How do you know if you're fatigued?,Health & Balance
"Anger is not unusual for people on the autism spectrum. The rage can come on suddenly, seemingly from nowhere, and then vanish just as quickly. Triggers include stress, sensory overload, being ignored, and a change in routine. A person with autism spectrum disorder may have trouble communicating, making things even harder. They may not even realize they are acting out of anger. Part of the solution is becoming more aware of themselves and situations.",How can autism cause anger?,Health & Balance
"Hyperthyroidism is when the thyroid gland produces too much thyroid hormone. This hormone has a direct effect on a person’s mood, linking the condition with a rise in tension and anxiety. It's treated with medication.",How can an overactive thyroid cause anger?,Health & Balance
"An epileptic seizure is an electrical disturbance in the brain. It can cause uncontrollable shaking and even loss of consciousness. That can be scary and confusing for someone. It's rare, but sometimes people lash out right after having a seizure. People with epilepsy are also more likely to feel self-conscious, depressed, and anxious. Sometimes anti-seizure medicines can cause behavior changes or outbursts, particularly in kids.",How can epilepsy cause anger?,Health & Balance
"Left untreated, inflammation, the early stages of diseases like cirrhosis and hepatitis, can damage the liver. When this organ fails, it stops removing toxic substances from the body. The buildup of poisons can lead to hepatic encephalopathy, a brain disorder that causes personality changes and loss of control.",How can liver failure cause anger?,Health & Balance
"Colon irrigations work somewhat like an enema but they involve much more water. While you lie on a table, a low-pressure pump or a gravity-based reservoir flushes several gallons of water through a small tube inserted into your rectum. After the water is in the colon, the therapist may massage your abdomen. Then you release the water like a regular bowel movement; the process flushes out the fluids and waste. The therapist may repeat the process, and a session may last up to an hour.",How is colon cleansing with irrigation (high colonics) done?,Health & Balance
"Developed to help with muscle systems used for a particular sport, sports massage uses a variety of approaches to help athletes in training -- before, during, or after sports events. You might use it to promote flexibility and help prevent injuries. Or, it may help muscle strains, aiding healing after a sports injury.",What is sports massage?,Health & Balance
"In Japanese, shiatsu means ""finger pressure."" For shiatsu massage, the therapist uses varied, rhythmic pressure on certain precise points of the body. These points are called acupressure points, and they are believed to be important for the flow of the body's vital energy, called chi. Proponents say shiatsu massage can help relieve blockages at these acupressure points.",What is shiatsu massage?,Health & Balance
Four common strokes of Swedish massage are:,What are the strokes of Swedish massage?,Health & Balance
"Deep tissue massage is best for giving attention to certain painful, stiff ""trouble spots"" in your body. The massage therapist uses slow, deliberate strokes that focus pressure on layers of muscles, tendons, or other tissues deep under your skin. Though less rhythmic than other types of massage, deep tissue massage may be therapeutic -- relieving chronic patterns of tension and helping with muscle injuries, such as back sprain.",What is deep tissue massage?,Health & Balance
"Neuromuscular therapy is a form of soft tissue manipulation that aims to treat underlying causes of chronic pain involving the muscular and nervous systems. This medically-oriented form of massage addresses trigger points (tender muscles points), circulation, nerve compression, postural issues, and biomechanical problems that can be caused by repetitive movement injuries.",What is neuromuscular therapy massage?,Health & Balance
"The most common type of massage is Swedish massage therapy. It involves soft, long, kneading strokes, as well as light, rhythmic, tapping strokes, on topmost layers of muscles. This is also combined with movement of the joints. By relieving muscle tension, Swedish therapy can be both relaxing and energizing. And it may even help after an injury.",What is Swedish massage?,Health & Balance
"The germs that cause sexually transmitted diseases (STDs) hide in semen, blood, vaginal secretions, and sometimes saliva.",Where do the germs that cause sexually transmitted diseases (STDs) come from?,Health & Sex
"In general, the medical community considers masturbation to be a natural and harmless expression of sexuality for both men and women. It does not cause any physical injury or harm to the body, and can be performed in moderation throughout a person's lifetime as a part of normal sexual behavior.",Is masturbation harmful?,Health & Sex
"While it once was regarded as a perversion and a sign of a mental problem, masturbation now is regarded as a normal, healthy sexual activity that is pleasant, fulfilling, acceptable, and safe. It is a good way to experience sexual pleasure and can be done throughout life. Masturbation is only considered a problem when it inhibits sexual activity with a partner, is done in public, or causes significant distress to the person.",Is masturbation normal?,Health & Sex
"As your pregnancy progresses, changing positions may become necessary for your comfort. After the fourth month of pregnancy women may notice feeling dizzy or nauseated while lying flat on their back. This is related to the weight of the growing uterus pressing on major blood vessels. Positions may need to be altered at this time.",Will sex feel different during pregnancy?,Health & Sex
"During intercourse, you should not feel pain. During orgasm, your uterus will contract. If you have any contractions that are painful or regular, contact your doctor. Also, discontinue intercourse and call your doctor immediately if you have heavy vaginal bleeding (light spotting is normal) or if your water breaks (nothing should enter the vagina after your water breaks).",Is painful sex during pregnancy normal?,Health & Sex
"Sexual orientation is a term used to refer to a person's emotional, romantic, and sexual attraction to individuals of a particular gender (male or female). Sexual orientation involves a person's feelings and sense of identity; it may or may not be evident in the person's appearance or behavior. People may have attractions to people of the same or opposite sex, but may elect not to act on these feelings.",What does sexual orientation mean?,Health & Sex
"Most scientists agree that sexual orientation (including homosexuality and bisexuality) is the result of a combination of environmental, emotional, hormonal, and biological factors.",Why are some people homosexual or bisexual?,Health & Sex
"Add 1/4 teaspoon of baking soda to a glass of water to zap acid in your stomach. However, acid doesn’t cause all kinds of indigestion, so if your symptoms don’t improve after 2 weeks, call your doctor.",How can I use baking soda to calm indigestion?,Health A-Z
A daily dose of sodium bicarbonate can help people whose kidneys can no longer remove enough acid from their blood.,How can I use baking soda to treat kidney disease?,Health A-Z
"While baking soda isn’t good for everyday use on your skin, it can soothe the redness, itching, and stinging that signal a mild reaction to an insect bite. Many over-the-counter creams contain baking soda. You can also make your own paste of one part baking soda to three parts water. This also works for poison ivy and rashes.",Can baking soda treat insect bites and stings?,Health A-Z
"If your doctor decides your broken nose can be fixed without surgery, they'll have to do it within 1-2 weeks of your injury. Any longer and it will begin to heal on its own, even if the bones are out of place.",How do you fix a broken nose without surgery?,Health A-Z
Symptoms of high iron levels vary and can include:,What are signs that I might have too much iron?,Health A-Z
"If your results are lower than normal, you have iron deficiency and possibly anemia. Your doctor may prescribe iron supplements or order more blood tests to figure out the cause.",What do the results mean in a ferritin blood test?,Health A-Z
Call your doctor if any of the following occur with an abscess:,When should you seek medical care for an abscess?,Health A-Z
Your doctor may also use these tests to diagnose your kidney infection:,What tests do doctors use to diagnose a kidney infection?,Health A-Z
"You can’t completely prevent all bladder infections, but you may be less likely to get one if you:",How can I prevent kidney infections?,Health A-Z
"Iron supplements can cause constipation, nausea, vomiting, diarrhea, heartburn, and dark poop.",What are side effects of iron supplements?,Health A-Z
"Mild iron deficiency anemia often isn't noticeable. When it gets more severe, you may have these symptoms:",What are symptoms of iron deficiency anemia?,Health A-Z
"Usually, the first step is antibiotics, which you may need for a week or two. Your symptoms should improve within a few days, but make sure to finish the medicine as your doctor suggests.",How are kidney infections treated?,Health A-Z
Conditions causing this type of anemia include the following:,What conditions cause anemia related to hormones?,Health A-Z
"If supplements don't help with your iron deficiency anemia symptoms or your anemia is severe, you might need a transfusion of red blood cells.",When might you need a transfusion of red blood cells?,Health A-Z
"While everyone’s blood is made up of the same basic parts, there’s actually a lot of variety in the kinds of blood that exist. There are eight different blood types, and the type you have is determined by genes you inherit from your parents.",Are there many blood types?,Health A-Z
Antibiotics can cure urethritis caused by bacteria. Some of the most commonly prescribed ones include:,What antibiotics can treat urethritis?,Health A-Z
Urethritis caused by herpes simplex virus can be treated with:,What are the treatments for urethritis caused by herpes simplex virus?,Health A-Z
"Urethritis is inflammation of the urethra, the tube that carries pee from your bladder outside your body.","What is urethritis, and what is its main symptom?",Health A-Z
"If you suddenly lose a large volume of blood, you may be treated with fluids, a blood transfusion, oxygen, and possibly iron to help your body build new red blood cells. If your blood loss is on-going, your doctor will find out what’s causing the bleeding, stop it, and, if needed, treat you for iron-deficiency anemia.",How do you treat anemia caused by blood loss?,Health A-Z
Blood tests can help confirm if you have anemia and help pinpoint underlying causes. Tests might include:,What blood tests can diagnose anemia?,Health A-Z
"EBV is best known for causing mononucleosis, but less often it can lead to other diseases, including:",What diseases can Epstein-Barr virus (EBV) cause other than mono?,Health A-Z
The main U.S. task force recommends screening for colorectal cancer starting at age 50 until age 75. You may need to start at a younger age or get screen more often if you have factors that raise your chances for colon cancer. Screening can be done with:,How often should people over 60 get screened for colon cancer?,Healthy Aging
"With hypothyroidism, your thyroid doesn’t make enough hormones to keep your body running properly. You might not have any appetite, yet still unexpectedly gain weight. It can also cause uncomfortable constipation. Hyperthyroidism, or overactive thyroid, can trigger the opposite symptoms: extreme hunger and thirst, diarrhea, and weight loss.",How do hypothyroidism and hyperthyroidism affect my appetite and weight?,Healthy Aging
"Sensorineural hearing loss happens most often from damage to the hair cells in the inner ear. Other causes include damage to the auditory nerve or the brain. It’s usually happens as you get older, but it also can happen because of noise exposure, chemotherapy, radiation, trauma, and genetics.",What is sensorineural hearing loss?,Healthy Aging
"Cleaning inside your ear canal, especially with cotton swabs, can push wax deeper into the ear. That can cause a wax buildup (cerumen impaction) that can make it hard to hear with the affected ear. The shape of the canals can make it hard to clear the wax, and hearing aids or earplugs also can cause buildup.","What can cause earwax buildup, and what are some ways to handle it?",Healthy Aging
Airplane ear is that feeling of pressure in your ears when an airplane is takes off and lands. It happens when the air pressure in your middle ear and the air pressure around you aren't balanced.,What is airplane ear?,Healthy Aging
"If you have some hearing left, sound may seem ""mechanical"" or ""synthetic,"" although most people no longer notice this after several months.",How is sound affected by cochlear implants?,Healthy Aging
The devices work best for children who:,Who does the cochlear implant work for best?,Healthy Aging
"Cochlear implant surgery is very safe, but any operation has risks. Problems can include bleeding, infections, and side effects from anesthesia. Other possible complications include:",What are the disadvantages and risks of cochlear implants?,Healthy Aging
The American Speech-Language-Hearing Association says the device is best for adults who have:,Who should get a cochlear implant?,Healthy Aging
"Some parts of the device can get damaged if they get wet. You need to take off the speech processor before you bathe, shower, or swim. You also can cover that part with a waterproof case or choose a waterproof cochlear implant processor. Rarely, the implant may stop working, and you’d need surgery to fix the problem.",What can happen if the cochlear implants get wet?,Healthy Aging
"You may have tests, such as:",What are the tests for cochlear implants?,Healthy Aging
"Most modern hearing aids have automatic feedback cancellation, but you might still get a whistling sound sometimes. To avoid it:",How can you avoid whistling sound from hearing aid?,Healthy Aging
"Anesthesia hampers your normal breathing and stifles your urge to cough. After chest or abdominal surgery, it could hurt to breathe in deeply or push air out. Mucus may build up in your lungs.",What breathing problems from anesthesia can I have after surgery?,Healthy Aging
"Your doctor will give you exact instructions on when and how to change your bandage. Most wounds don't need one after a few days, but if you keep the area covered, it may help protect the cut from injury and it may heal faster.",When do I take off the bandage from surgery?,Healthy Aging
"Sunburn can darken a healing scar and make it more noticeable. For the first 6 months after your operation, try to keep it out of sunlight. When you're outside in daylight, cover it with tape or put on sunscreen.",Should I keep my wound out of the sun after surgery?,Healthy Aging
"Replace the bloody bandage with a new one. If you apply pressure directly to the cut for a few minutes, it'll ususally stop the bleeding. Call your doctor if it doesn't stop right away.",What should I do if my wound bleeds after surgery?,Healthy Aging
It can be life-changing if you have a serious hearing problem. But the results aren't the same for everyone. Some people benefit more than others. Some of the pros:,What are the advantages of a cochlear implant?,Healthy Aging
"Allergic reactions are uncommon. Hyaluronic acid fillers are made from substances similar to those found in your body. But if you are allergic to lidocaine used to numb the pain during injections, tell your doctor before your treatment.",How common are allergic reactions to hyaluronic acid fillers?,Healthy Beauty
"There are different types of tissue in different parts of your ear, so healing time depends on your body and the place you've pierced. Earlobes usually take 6-8 weeks. If you pierce the cartilage on the side of your ear, it can take 4 months to a year. Ask your piercing professional for an estimate.",How long does it take to heal after you get your ears pierced?,Healthy Beauty
"People who are pregnant, breastfeeding, or have a neurological disease should not use Botox. Since Botox doesn't work for all wrinkles, you should consult with a doctor first.",Are there people who should not get botox?,Healthy Beauty
"Keloid scars are the result of an overly aggressive healing process. Over time, a keloid scar may keep that area from moving well. Treatments include surgery to remove the scar, steroid injections, or silicone sheets to flatten the scar. Smaller keloids can be treated using cryotherapy (freezing therapy using liquid nitrogen). Keloid scars are most common among people with dark skin.",What are keloid scars?,Healthy Beauty
"Minoxidil is the only over-the-counter medication for hair loss approved by the FDA for use by both men and women. It won't rescue a receding hairline. It does stimulate hair growth, although scientists aren't quite sure how it works.",What is minoxidil and how can it help thinning hair?,Healthy Beauty
"Creams with tretinoin (Retin-A) contain retinoid. They may help fade newer stretch marks, but they can cause your skin to become red, irritated, or scaly. They’re also used to treat wrinkles.",Can tretinoin help with stretch marks?,Healthy Beauty
"How much breast implants cost depends on the location, doctor, and type of implant used. Typically, the surgery ranges from $5,000 to $10,000. Because it is a cosmetic procedure, health insurance usually doesn't cover breast augmentation.",How much do breast implants cost?,Healthy Beauty
"Doctors may prescribe retinoids for warts, particularly when other treatments have failed. Retinoids disrupt the wart's cell growth. Follow your doctor's instructions. You may need to use them for a few months before warts disappear.",How can retinoids help with warts?,Healthy Beauty
Pierced nostrils heal completely in about 2 to 4 months. A pierced septum heals in about 3 to 4 months.,How long does it take a nose piercing to heal?,Healthy Beauty
"Apply early and often. Whatever type of product you choose, apply it before you put on lipstick or lip gloss, not after. To keep your lips protected, reapply frequently. You need about six to eight coats during the day, so apply first thing in the morning, last thing at night, and every couple of hours during the day.",How should I apply lip balm to treat chapped lips?,Healthy Beauty
"If your dry, itchy skin doesn't get better within 2 weeks, call your doctor. In some cases, dry skin and itching can be caused by an allergic reaction or a skin disorder such as eczema or psoriasis, which may require specific treatments.","When should I see a doctor about my dry, itchy skin?",Healthy Beauty
"If you remove your nipple ring(s) for any reason, the hole may get smaller or close up after a few weeks. Go to a professional studio to have it redone. Don't try to re-pierce it yourself.",Can my nipple piercing close up?,Healthy Beauty
"Smooth, soft, natural fabrics, such as fine cotton and silk, feel best worn next to the skin. Cotton is cool; silk is warm. Both are absorbent and help draw body moisture away from the skin. Rayon and linen are also comfortable for sensitive skin, but they're heavier. Clothing should be loose fitting with few or no creases and folds.",What are the best fabrics to wear if you have sensitive skin?,Healthy Beauty
"See a dermatologist if your problem persists. Chapping that doesn’t heal, despite regular use of lip balm, can be a sign of infection or a more serious problem, like cancer or a pre-cancer condition called actinic cheilitis.",When should I call the doctor about chapped lips?,Healthy Beauty
"As you age, your body makes less collagen and elastin, which keep skin strong, flexible, and resilient. The antioxidants in vitamin C may boost the amount of collagen and minimize fine lines, wrinkles, and scars.",Why is vitamin C in skin care products?,Healthy Beauty
Studies have shown that copper peptide promotes the production of collagen and elastin in your skin. It also acts as an antioxidant and promotes production of glycosaminoglycans (such as hyaluronic acid).,How does copper peptide affect the skin?,Healthy Beauty
Nipple tissue takes longer to heal than most other pierced areas of your body. It may take up to 6 months for yours to heal.,How long does it take a nipple piercing to heal?,Healthy Beauty
"Once the treated areas have healed, you can wear makeup to hide the pink to red color that is typically seen after laser skin resurfacing. Green-based makeups are particularly suitable for this camouflage since they neutralize the red color. Oil-free makeups are recommended after laser resurfacing.",What types of makeup can you wear after laser resurfacing?,Healthy Beauty
"Potassium plays a role in every heartbeat. A hundred thousand times a day, it helps trigger your heart to squeeze blood through your body.",How does potassium help your heart?,Heart Disease
Yes. There are three:,Are there different types of pacemakers?,Heart Disease
You may feel tired and out of breath if you have mitral regurgitation. You might have fluid collecting in your legs and feet. This is called edema.,What are the complications of mitral valve regurgitation?,Heart Disease
This condition happens when a faulty valve in your heart lets some of your blood flow the wrong way. You can do lots of things to help ease your condition:,How can lifestyle choices help manage mitral valve regurgitation?,Heart Disease
"Bradycardia is when your resting heart beat is less than 60 beats a minute. You may not need any treatment if you have a mild case. Your doctor will just want to keep a watchful eye. If you have a more serious situation, you may need a pacemaker to help you keep a steady heartbeat.",What are the treatments for bradycardia?,Heart Disease
"There are two types of mitral valve regurgitation: chronic and acute. A chronic case develops slowly, and you may not even notice symptoms at first. Signs of the condition slowly get worse over time. An acute case comes on quickly and can be life-threatening. Your doctor will want to take fast action.",What are the types of mitral valve regurgitation?,Heart Disease
This condition happens when a faulty valve in your heart lets some of your blood flow the wrong way.,Can medications help treat mitral valve regurgitation?,Heart Disease
Exercise. Physical activity strengths your heart just like other muscles in your body.,How can I lower my resting heart rate?,Heart Disease
Your mitral valve is in the passageway between your heart's left atrium (upper left chamber) and left ventricle (lower left chamber).,What is the mitral valve?,Heart Disease
"If you have a really mild case, you might need no treatments at all. Your doctor will still want to keep a watchful eye on you with regular checkups.",What are treatments for mitral valve regurgitation?,Heart Disease
"Open heart surgery is a way to repair or replace your heart valve. Usually, doctors prefer to repair the valve instead of replacing it. If you get a replacement, the valve may be a man-made device or it could come from a pig, a cow, or someone who signed up for organ donation before they died.",Can open heart surgery treat mitral valve regurgitation?,Heart Disease
"Severe regurgitation can cause blood clots, gel-like clumps that can create serious problems if they get to the lungs or brain.",What are complications of mitral valve regurgitation?,Heart Disease
"A high resting heart rate may mean your heart works extra hard to pump blood. If your pulse is consistently more than 100 beats per minute at rest, it's a good idea to see your doctor. Over time, a high resting heart rate may affect how well your heart functions works and raise your chances of cardiovascular disease.",What does a high resting heart rate mean?,Heart Disease
"Medicine cannot reverse mitral valve regurgitation, but it can treat many of the symptoms it causes and can be used if the leakage isn’t too bad. Some options are:",What kinds of medications treat mitral valve regurgitation?,Heart Disease
The mitral valve is supposed to be a one-way passage. It has flaps that should close behind the surge of blood it sends to the left ventricle.,How does mitral valve regurgitation happen?,Heart Disease
"Your doctor could recommend minimally invasive heart surgery to treat mitral valve regurgitation. Instead of opening up your chest, your doctor creates one or more small cuts and works through them. Depending on the kind of procedure, the surgeon may use a robotic arm or a long, flexible tube called a thoracoscope that holds a tiny video camera.",Can minimally invasive surgery be used to treat mitral valve regurgitation?,Heart Disease
"This is one type of bradycardia, when your resting heart beat is less than 60 beats a minute. It happens when your sinus node, sometimes called your heart’s natural pacemaker, doesn’t work right.",What conditions can cause sinus bradycardia?,Heart Disease
"This is one type of bradycardia, when your resting heart beat is less than 60 beats a minute. Your sinus node, a group of cells that sends out electrical signals that tell you when to pump out more blood, may send those signals too slowly or not at all.",What is sinus bradycardia?,Heart Disease
"The heart beats (expands and contracts) 100,000 times per day, pumping five or six quarts of blood each minute, or about 2,000 gallons per day.",How many times does your heart beat each day?,Heart Disease
"Mitral valve regurgitation might cause fatigue and shortness of breath. The blood coming through the left side of your heart fuels your body, bringing oxygen from your lungs to your cells. If some of that blood is flowing back into the heart instead, you might end up feeling tired or lightheaded, particularly if you’ve been active. In severe cases, you can find yourself feeling tired or short of breath even when you’re at rest.",Can mitral valve regurgitation cause fatigue and shortness of breath?,Heart Disease
Examples of anticoagulants include:,What are examples of anticoagulant medications?,Heart Disease
You may feel tired and out of breath if you have it. You may also have higher blood pressure and a buildup of fluid in your lungs.,How can mitral valve regurgitation affect you?,Heart Disease
"Tell your doctor if you have any problems with your esophagus, such as hiatal hernia, swallowing problems, or cancer.",What should I do to prepare for a transesophageal echocardiogram?,Heart Disease
"Some people have palpitations after heavy meals rich in carbohydrates, sugar, or fat. Sometimes, eating foods with a lot of monosodium glutamate (MSG), nitrates, or sodium can bring them on as well.",Can you get heart palpitations from food?,Heart Disease
"ACE inhibitors are drugs that widen the blood vessels to improve your blood flow. If you’re taking these drugs, avoid:",Should I avoid certain foods or medicine while taking ACE inhibitors?,Heart Failure
Anything that damages your heart muscle or makes it work too hard can lead to congestive heart failure. Some examples include:,What causes congestive heart failure?,Heart Failure
"Collateral blood vessels are small capillary-like branches of an artery that form over time in response to narrowed coronary arteries. The collaterals ""bypass"" the area of narrowing and help to restore blood flow. However, during times of increased exertion, the collaterals may not be able to supply enough oxygen-rich blood to the heart muscle.",What is the definition of collateral blood vessels?,Heart Failure
Sodium is a mineral found in most of the foods we eat. The largest source of dietary sodium comes from sodium chloride or table salt. Intake of sodium tends to increase the retention of water.,What is the definition of sodium?,Heart Failure
Stenosis is the narrowing or restriction of a blood vessel or valve that reduces blood flow.,What is the definition of stenosis?,Heart Failure
"Your kidneys filter wastes and extra fluid out of your blood. Just like your other organs, they need a steady supply of blood to work like they should.",How can heart failure lead to kidney damage or failure?,Heart Failure
"Diastolic pressure is the pressure of the blood in the arteries when the heart is filling. It is the lower of two blood pressure measurements; for example, if the blood pressure is 120/80, then 80 is the diastolic pressure.",What is the definition of diastolic pressure?,Heart Failure
"How long you live after a heart transplant depends on many things, including age, general health, and response to the transplant. Recent figures show that 75% of heart transplant patients live at least 5 years after surgery. Nearly 85% return to work or other activities they previously enjoyed. Many people enjoy swimming, cycling, running, or other sports.",How long can you live after a heart transplant?,Heart Failure
Pulse rate is the number of heartbeats per minute. The resting pulse rate for an average adult is between 60 and 80 beats per minute.,What is the definition of pulse rate?,Heart Failure
"IHSS, or idiopathic hypertrophic subaortic stenosis, is another term used synonymously with hypertrophic obstructive cardiomyopathy (HOCM). It is an inherited disease of the heart that causes thickening of the heart muscle and other changes to the heart that significantly impair its function. Although the disease is rare, IHSS is the most common cause of sudden cardiac arrest in young people. The term that is most frequently used now is HOCM.",What is the definition of IHSS?,Heart Failure
"This type of angina is considered an acute coronary syndrome. It may be a new symptom or a change from stable angina. It may come more often, occur at rest, or feel more severe. Although this angina can be relieved with oral medications, it is unstable and may progress to a heart attack. Usually medical treatment or a procedure is required to address it.",What is unstable angina?,Heart Failure
"Maintain fluid balance: Your doctor may ask you to keep a record of the you eat or drink, and how often you go to the bathroom. Remember, the more fluid you carry in your blood vessels, the harder your heart must work to pump excess fluid through your body. Limiting the fluids you drink to 2 liters per day will ease the workload of your heart and keep symptoms from coming back",How can I ease my heart failure symptoms?,Heart Failure
"Because blood is being moved away from your digestive system, your appetite may not be as big as it usually is. You might also feel sick to your stomach.",What does it mean if you have a lack of appetite or nausea if you have heart failure?,Heart Failure
"You may already have a dry cough that acts up when you’re lying in bed. You might cough often during the day, and your phlegm could have a slight pink tint to it. That means there’s a bit of blood in the gunk you’re coughing up. Advanced heart failure can make that cough worse, especially when you’re lying down.",Can end-stage heart failure cause coughing?,Heart Failure
"This disease can make you worry about your health. You may even have physical symptoms like sweating, shortness of breath, or fatigue. Depression or anxiety may be even more likely with advanced heart failure. Talk to your doctor about ways to get help.",Can end-stage heart failure cause depression or anxiety?,Heart Failure
"A weak heart pumps less blood to your kidneys and causes fluid and water retention. That can bring swollen ankles, legs, and abdomen (called edema), and weight gain. This can also make you need to pee more at night as your body attempts to get rid of this excess fluid. Bloating in your stomach may cause a loss of appetite or nausea.",Can heart failure cause me to retain fluid?,Heart Failure
"You might not feel hungry anymore, so you may eat less. Advanced heart failure can make this more pronounced. You may not lose weight, either: Fluid buildup in your body often leads to weight gain.",Is loss of appetite normal with end-stage heart failure?,Heart Failure
"When your heart can’t move blood through your body, it can build up in certain body parts. That can lead to swollen feet, ankles, legs, or a swollen belly. You might also gain weight from fluid in these areas. Advanced heart disease makes swollen body parts and weight gain more likely.",Can my swelling be because of end-stage heart failure?,Heart Failure
"Keep the area where the pacemaker was inserted clean and dry. After about five days, you may take a shower. Look at your wound daily to make sure it is healing. Call your doctor if you notice:",How does someone care for their wound after the pacemaker implant?,Heart Failure
"Possible side effects of potassium and magnesium supplements include nausea, vomiting, diarrhea, and abdominal discomfort. If these side effects continue, call your doctor. If you take controlled-release tablets or capsules and have severe vomiting, vomit blood, or have abdominal pain or swelling, stop taking the medication and call your doctor right away.",What are some side effects of potassium and magnesium supplements?,Heart Failure
The heart beats faster to pump enough blood to the body. This can cause a fast or irregular heartbeat.,How can heart failure cause rapid or irregular heartbeats?,Heart Failure
"When you have heart failure, your heart makes two proteins. Your doctor will call them B-type natriuretic peptide (BNP) and N-terminal-pro-BNP. Levels of both in your blood go up when your heart failure gets worse and go down when it gets better. A test called a BNP blood test measures those two important levels. It’s able to spot heart failure more than 80% of the time.",What is the B-type natriuretic peptide blood test?,Heart Failure
"Systolic pressure is the pressure of the blood in the arteries when the heart pumps. It is the higher of two blood pressure measurements; for example, if the blood pressure is 120/80, then 120 is the systolic pressure.",What is the definition of systolic pressure?,Heart Failure
"Normally, the electrical impulse provided by the bundle branch travels down both the right and left bundle branches at the same speed and the ventricles contract at the same time. If there is a block in one of the branches, it's called a bundle branch block. A bundle branch block causes one ventricle to contract just after the other ventricle, reducing the overall efficiency of contraction.",What is bundle branch block?,Heart Failure
Capillaries are tiny blood vessels connecting arteries to veins. These blood vessels carry oxygen and nutrients to individual cells throughout the body.,What is the definition of capillaries?,Heart Failure
A doctor usually diagnoses a leaky heart valve by:,How is a leaky heart valve diagnosed?,Heart Health
"Any of your four heart valves can become leaky. This means that just after the heart squeezes and pumps blood forward, some blood will leak backward through the valve. Leaking through the valve is also called valve regurgitation.",What is a leaky heart valve?,Heart Health
"Everyone with a leaky heart valve can benefit from daily exercise, like walking. Before engaging in competitive or contact sports, people with severe valve regurgitation should talk with their doctors.",What can you do to manage a leaky heart valve?,Heart Health
Moderate or severe tricuspid regurgitation may result from pulmonary hypertension. Pulmonary hypertension is high blood pressure in the pulmonary artery. This high blood pressure has many possible causes. The main one is congestive heart failure.,What causes tricuspid regurgitation?,Heart Health
"Medicines may not be effective in treating tricuspid regurgitation. Diuretics, or water pills, can help relieve body swelling, or edema, that’s due to congestive heart failure. The tricuspid valve may be repaired during surgery to correct other leaky heart valves. Surgical repair of the tricuspid valve generally works better than replacing it. Surgery to replace the tricuspid valve by itself (not along with the mitral or aortic valve) is only recommended in rare cases.",What is the treatment for tricuspid regurgitation?,Heart Health
Additional symptoms of a leaky heart valve may include:,What are some other symptoms of a leaky heart valve?,Heart Health
"Many people with aortic regurgitation only require observation over time. People with symptoms due to severe aortic valve regurgitation may benefit from certain blood pressure medicines called vasodilators. Other drug treatments for congestive heart failure, such as diuretics, can be helpful in treating severe aortic regurgitation.",What is the treatment for aortic regurgitation related to a leaky heart valve?,Heart Health
Some people with a leaky mitral valve don't require treatment. The standard approach is observation over time. Experts don't recommend daily medication for mitral regurgitation unless there is significant heart failure.,What is the treatment for mitral regurgitation related to a leaky heart valve?,Heart Health
"Your heart rate, or pulse, is the number of times your heart beats in a minute. Everyone’s is different and it changes as you get older. Understanding your heart rate and what’s a healthy one for you is an important part of taking care of yourself.",What is your heart rate?,Heart Health
"Postural hypotension occurs most frequently in people who are taking drugs to control high blood pressure (hypertension). It can also be related to pregnancy, strong emotions, hardening of the arteries (atherosclerosis), or diabetes. The elderly are particularly at risk.",Who is more likely to get postural hypotension?,Heart Health
"It can happen to anyone for a variety of reasons, such as dehydration, lack of food, or being overly fatigued.",Who gets postural hypotension?,Heart Health
Health problems can happen when blood pressure drops suddenly and the brain is deprived of an adequate blood supply. This can lead to dizziness or lightheadedness.,What can happen if you have chronic low blood pressure?,Heart Health
Optimal blood pressure is less than 120/80.,What is the optimal blood pressure?,Heart Health
"Hypotension is the medical term for low blood pressure, defined as less than 90/60.",What is low blood pressure?,Heart Health
"Yes, including:",Can diseases cause postural hypotension?,Heart Health
Causes of a leaky aortic valve include:,What causes a leaky aortic valve?,Heart Health
