question,answer,tags,QA
what causes bacterial vaginosis to reoccur? . i had a hysterectomy in 2000 and i keep having reoccurring bacterial vaginosis even when i am not sexually active. what causes that and what can i do for it?,hi its a big problem with bv it keeps coming back but google bv and sea salt you may find some interesting answer's that my help you lots of good info. good luck,"['bacterial vaginosis', 'hysterectomy']",wmd
i have no insurance where can i get help with my adult add? . i was diagnosed and re-diagnosed years ago. i have not seen a doctor in about 10 years and have not been able to work since thus no insurance.,you might try seeking help at a community-based health clinic. the services available vary but generally they include primary health care dental mental health and pharmacy services. there are about 1 200 health centers operating around the country and fees are on a sliding scale based on income. you can find a clinic by searching the u. s. health resources and services administration website.,['insurance'],wmd
i think my urologist did a poor job with my circumcision?,hi. it can be probably related to fungal infection known as thrush. can you please tell that do you have any white cheesy deposits on the penile head? do you have any medical problems like diabetes? please revert back so that i can guide you accordingly. hope this helps.,"['bad circumcision', 'circumcision error']",qd
there's a tiny hole above my child's (9 months old) butt hole in her crack. can you tell me what that is?,"it is probably a ""pilonidal sinus tract"". you can look this up on the internet.",[],wmd
can you take tylenol with adderall,yes. these two drugs are compatible at the recommended dosages.,['acetaminophen'],wmd
if you think you have endometriosis should you have a pap smear as a virgin?,a pap smear is a test used to diagnose cervical or vaginal precancerous or cancerous cells. your first pap smear should be performed at the age of 21 regardless of sexual activity. a pap smear cannot diagnose endometriosis. endometriosis is a condition in which cells that typically line the inside of the uterus (endometrial cells) are found outside the uterus where they should not be. for example this endometrial tissue may be found on the outside surface of the uterus ovaries fallopian tubes or anywhere in the pelvic or abdominal cavity. when this tissue is in these abnormal areas it can cause significant pain during your period painful intercourse scarring and potentially infertility. if you are having painful periods you need to see a gynecologist - even if you are a virgin. endometriosis is typically diagnosed based on symptoms; however sometimes your doctor may perform a type of surgery called a laparoscopy where a camera is inserted through your belly button to look for and treat endometriosis. there are several other types of treatment for endometriosis such as oral contraceptives lupron and pain medicines. it is never too early to see a gynecologist if you have any concerns or questions.,"['endometriosis', 'pap test']",wmd
is it unusual for a spouse to lose interest in all sex after not having sex for at least 25 years? i'm 61 years old.,no it is not unusual. it would be wise for your spouse to see a medical provider so that the various reasons (there are many) can be investigated. if your spouse is a male (you didn't state your own sex) you may have to drag him to the doctor. men are very very stubborn.,[],wmd
my finger tips and thumb tips will crack and bleed get very sore wear rubber gloves with all cleaning and apply lotion. this has been going on for about a year i have tried all i know my fingers are very sore and bleed constantly. i try to protect my hands as much as possible. i need help with this,"i'm sorry to hear you're going through this. cracked fingertips can be very painful! if you haven't had this checked out by a medical professional it might be worth having someone take a look just to make sure this isn't a dermatitis or something that could be treated with a prescription medication. assuming this is cracking due to dry skin i would suggest applying a&d ointment to your fingers. you can find this preparation in the diaper rash aisle of any supermarket or drugstore. sometimes it's called ""vitamin a & vitamin d"" ointment because that's what it contains. vitamins a and d are essential to the healing process. you might see good results using this ointment or cream. rubber gloves are great for protecting your hands from harsh chemicals or from the drying effects of too much contact with water. if you choose to try a&d ointment i suggest you get a pair of cotton gloves (such as those used for gardening or light yard work) apply the ointment at bedtime then put on the gloves and go to sleep. the gloves will help keep the ointment where it belongs instead of getting all over the sheets. i wish you all the best with this!","['finger', 'hand', 'thumb', 'lotion']",wmd
my pregnancy test remains positive after abortion. why?,if you had an ectopic pregnancy then it would show on the sonogram. pregnancy test could be positive due to leftover tissue. as it was removed it should be examined by histopathology test. sometimes hcg (human chorionic gonadotropin) producing trophoblastic tissue (it is similar to a healthy pregnancy tissue) persists inside uterus giving positive pregnancy tests. if your test comes positive then you should do titer of serum beta-hcg every third day to see if it is rising or falling. for further information consult an obstetrician and gynaecologist online  ,['ectopic pregnancy'],ic
is it possible to get pregnant from sharing a bathroom with somebody? . i'm 14 years old and i've skipped my period recently. this has happened before due to stress or anxiety but this time it's different. i've noticed my stomach is kind of bloated and it feels hard when i poke or feel it. i obviously have not had sex. like none at all. because that's illegal. anyways i share a bathroom with my dad and this is the weird part i'm just afraid sperm could get in a towel or on a toilet seat or something like that.,hi yes stress and anxiety will stop periods and so will your hormones exercise or trying to loss weight but also at 14 it often happens when your periods just stop could be for 6 months then restart it just happens to young women. as for sperm on towels if you don't trust your father try having your own towel and keep it in your room as for the toilet seat i do not ever recall a women getting pregnant that way most women get pregnant from full penetrating sex but next time just wipe the toilet seat. hope this helps you. good luck,"['pregnancy', 'period', 'stress', 'anxiety', 'stomach']",wmd
what is the role of physical activity and exercise in obesity?,"the national health and examination survey (nhanes i) showed that people who engage in limited recreational activity were more likely to gain weight than more active people. other studies have shown that people who engage in regular strenuous activity gain less weight than sedentary people. physical activity and exercise help burn calories. the amount of calories burned depends on the type duration and intensity of the activity. it also depends on the weight of the person. a 200-pound person will burn more calories running 1 mile than a 120-pound person because the work of carrying those extra 80 pounds must be factored in. but exercise as a treatment for obesity is most effective when combined with a diet and weight-loss program. exercise alone without dietary changes will have a limited effect on weight because one has to exercise a lot to simply lose one pound. however regular exercise is an important part of a healthy lifestyle to maintain a healthy weight for the long term. another advantage of regular exercise as part of a weight-loss program is a greater loss of body fat versus lean muscle compared to those who diet alone. other benefits of exercise include: improved blood sugar control and increased insulin sensitivity (decreased insulin resistance) reduced triglyceride levels and increased ""good"" hdl cholesterol levels lowered blood pressure a reduction in abdominal fat reduced risk of heart disease. remember these health benefits can occur independently (with or without) achieving weight loss. before starting an exercise program you should talk to your doctor about the type and intensity of the exercise program. general exercise recommendations: 20-30 minutes of moderate exercise 5 to 7 days a week preferably daily. types of exercise include walking stationary bicycling walking or jogging on a treadmill stair climbing machines jogging and swimming. exercise can be broken up into smaller 10-minute sessions. start slowly and progress gradually to avoid injury excessive soreness or fatigue. over time build up to 30 to 60 minutes of moderate to vigorous exercise every day. people are never too old to start exercising. even frail elderly individuals (ages 70-90 years) can improve their strength and balance. exercise precautions: the following people should consult a doctor before vigorous exercise: men over age 40 or women over age 50. individuals with heart or lung disease asthma arthritis or osteoporosis. individuals who experience chest pressure or pain with exertion or who develop fatigue or shortness of breath easily. individuals with conditions or lifestyle factors that increase their risk of developing coronary heart disease such as high blood pressure diabetes cigarette smoking high blood cholesterol or having family members with early onset heart attacks and coronary heart disease. a patient who is obese","['obesity', 'exercise']",wmd
i have pain stiffnes and weakness in hands and fingers. x-ray did not show inflamationn or degnerative arthritis. i am 56 yr old female. my hands and all fingers are very stiff all the time and very painfull when not in use. if i do not keep them moving they become very stiff in a few minutes. i have been taking celebrex which helps but i want to know what is wrong with them. i had carpel tunnel surgery 2 years ago in my left hand and 15 yrs ago in my right. . x-ray taken 2 weeks ago states no inflammatory or degenerative arthritis. will arthritis always show on x-ray? what is my next step?,you have the answer on some other page in webmd. please go to . hope it will help you. dhammika abeygoonawardhane sri lanka,"['arthritis', 'finger', 'hand', 'x-ray', 'surgery']",wmd
girlfriend's period isn't stopping. took plan b. hi my girlfriend took plan b two weeks ago and her period has been longer than usual. she usually has it for 3-5 days but it has lasted around 9. she says it doesn't hurt stops at night and randomly occurs in the afternoon. what could be the cause of this? are these signs of pregnancy? are these signs of an infection? . any answers or information would be appreciated!,hi sounds like it was a mix of her taken the plan b and her natural cycle coming on at the same time and its just extended her period. but for you condoms would have been a lot cheaper than plan b or better still if your g/f can take them the pill would have been a far better option or there novaring but try and keep away from depo shot far to many side effects. do hope this helps you. good luck,"['period', 'pregnancy']",wmd
hematoma after mini face-lift caused lips and eyes to be swollen shut?,you do not need to worry about it as lip haematomas takes time to resolve. you can use normal icing and anti bruise creams to treat it faster.,['hematoma after mini face-lift'],qd
my wife had her first misscarriage after 10 weeks at the end of feb-13. when is the best time to try again for baby. we have 2 daughters. 6. 10yrs old and 5. 3yrs old. my wife is currently taking anti depression meds and psychiatrist suggest to try after 10months although meds are very safe during pregnancy wife is 32yrs old.,that is really a decision that only you and your wife can make after discussing this with her ob and the medical clinician that is treating her depression. in most cases people can begin trying to get pregnant quite soon after a miscarriage but since i do not know any of the details of your wife's case this is not something that we should try and blindly determine on-line.,"['depression', 'miscarriage', 'pregnancy', 'baby']",wmd
i recently lost my virginity i bled a lot during sex and am still bleeding a tiny bit two days later. is this bad?,bleeding a little bit after your first sexual experience. even two days later. is nothing to be alarmed about. this is most likely from a hymenal tear. it should stop soon.,['sexual intercourse'],wmd
late period brown spotting instead. can it be pregnancy? but i didn't have sex after my last period. i had protected sex in the end of august(on the ovulation day). i had my period in september as usual. now i'm 3 days late experienced light cramping yesterday similar to period cramping but instead of bleeding there was little brown spotting. today there's no spotting no cramping and no sign of blood inside. i took melatonin for a week but stopped a few days ago. i was sick for a day three weeks ago (nausea and vomiting) only lasted for one day. lately i've been a bit stressed,hi the only thing you can do is go see your doctor and get a test done there best way to go and see how that pans out. but brown blood means old blood could be just a skipped/missed period. hope this helps you. good luck,"['period', 'spotting', 'pregnancy', 'ovulation', 'melatonin']",wmd
coronavirus how do we test?,"in brief: lab if necessary most commercial labs such as lancet, ampath and pathcare can test. but the labs are stretched and test kits in short supply. only tests if:you have symptoms that are not resolvingyou have been in contact with someone diagnosed with covid-19you have traveled from a high risk area would you like to video or text chat with me?",coronavirus how do we test?,mds
how often should men have sex or ejaculate to help prevent prostate cancer?,"in one study, the exact number of times didnt matter. basically, the more men ejaculated in a month, the less likely they were to get prostate cancer.",[ Prostate Cancer ],add
i am a member of aarp but have not received any benefit so far. i am a member of aarp. please let me know can i get quotation of health care insurance rates. i have not received any benefit from aarp membership. in case it has no benefit then i will cancel my membership. imdad syed. aarp membership no. 328 603 422 2. since 2011.,i can't comment on the value of an aarp membership. however if you're not old enough to qualify for medicare and are in the market for a private insurance policy i would recommend you broaden your search by looking for insurance on healthcare. gov. there you'll find a wider range of health plan options than what any one company offers. if you earn too much money to qualify for financial help from the government you would also be well served to search your insurance options outside of the marketplace set up under the affordable care act. you can try a site like ehealthinsurance. com or gohealth. com which offer a wider range of insurance options.,['insurance'],wmd
at times i feel light headed jittery shakes tingely all over cold sweats. i experience this usually when sitting. i am afraid to stand up while feeling this for fear of passing out. i have experienced this in church as well as at home while sitting. could be any time of day. sometimes experience this after strenuous exercise such as mowing the grass on a hot summer afternoon,i have this problem on occasion even though i don't have low blood sugar normally. i suggest you eat a piece of candy that isn't sugar free or maybe just grab a soda or some sweet tea and drink that and see if the sensation doesn't go away fairly quickly.,"['lightheadedness', 'fear', 'sweating', 'coldness', 'exercise']",wmd
can tagamet be used to get rid of plantar warts,this drug has been used off-label to treat common warts (verruca) but plantar warts are a bit different and very difficult to treat. it is not very likely that this will work on those warts so it is best to see a good podiatrist or dermatologist and have the treated by a different more-effective method.,['plantar wart'],wmd
i had blood in my stool and have had constant hunger like pain under my rib cage on the right side- could it cancer? . i am 32 yrs old and have had pain in upper right side under rib cage for about 2 weeks now. the other day i had miserable stomach craps and had diarrhea that's when i notices the few amounts of blood and also red blood on the toilet paper. could it be an ulcer or something much worse (cancer). should i wait til i have another bowel movement before i go to the dr. i don't recall any pain or constipation recently so i don't know what the cause could be or the pain in stomach is. any advice? .,"the good news is that bright red blood on the surface of your stool or in the toilet water or on the toilet paper usually isn't the type of blood associated with a cancer of the digestive tract. usually bright red blood like that is more associated with hemorrhoids or a minor rectal bleed due to passing hard stool or straining hard during a bowel movement. when we talk about ""blood in the stool"" related to a cancer this blood usually isn't recognizable as blood. it usually turns the stool black or tarry. the pain in your upper-right abdomen could be caused by many conditions including gallstones. because the pain has persisted for over 2 weeks i'd suggest you get it checked out. the pain may or may not be related to the other symptoms you describe. only a medical professional can give you a firm diagnosis. i hope you feel better soon!","['bowel movement', 'stomach', 'diarrhea']",wmd
i am having frequent left chest pain – echo stress test ecg all normal?,hi v4 slight elevation(right ventricle and atrium) can be due to partial sodium channels block causing early repolarization or partial right branch block due to coronary artery stenosis it is usually not important but if you are concerned then i recommend checking sodium potassium and calcium levels also an angiogram is helpful if you have risk factors for stenosis like weight smoking or even stress good luck,['left chest pain'],qd
"i have thing in my eyes and are painful, and sometimes giving me headaches?","in brief: eye pain eye pain can be for various reasons. bilateral eye pain would be less likely foreign body although dusts can cause this. conjunctivitis can be bilateral from either bacteria, virus or allergies. light exposure can cause eye irritation. would you like to video or text chat with me?","i have thing in my eyes and are painful, and sometimes giving me headaches?",mds
i have been getting stomach pain that travels around to my back?,functional abdominal pain or irritable bowel syndrome is it related to bowel habits ? does it interfer with your daily activities? any associated constipation flatulence is it related to meals?,['getting stomach pain'],qd
what are some of the more serious risks with peripheral artery disease (pad)?,"peripheral artery disease (pad) isnt a medical emergency, but lack of blood flow to your legs can cause serious problems like gangrene. thats when the tissue in your leg dies.",[ DVT ],add
i have hives all over my body. every part of me is swollen now. how sould i determin if i need to go to the hospital? . i don't know what caused this. i woke up at 3am with them. when i stood up for too long i would get really dizzy and faint feeling. i have them from my mead down to my toes and everything in between.,the question is why havn't you gone already. that i don't think is normal and you should go pronto/now!,"['hives', 'toe', 'lightheadedness', 'dizziness', 'swelling']",wmd
what is an addictive disease and why is smoking considered an addictive disease?,the term addictive disease or addiction describes a persistent habit that is harmful to the person. thus addiction is a chronic disease with reliance on the substance causing the addiction. the addictive substance also causes the accompanying deterioration of a person's physical and psychological health. psychologically an individual's behavior pattern establishes how the addictive substance is used. one type of behavior is compulsive behavior which is an overwhelming and irresistible interest in use of the substance. for example the compulsive addict makes sure that the substance is always available. another type of behavior is habitual behavior which is using the substance regularly or occasionally for the desirable effects. physically continuous use of the substance leads to dependence on the drug by the body. this dependence means that when the drug is discontinued symptoms of withdrawal or distress occur. nicotine is the component of cigarettes that addicts. almost immediately upon inhalation the body responds to the nicotine. an individual feels relaxed calmer and happier than before the inhalation. these pleasant feelings reflect the physical side of addiction; but then doing without cigarettes causes craving for more cigarettes irritability impatience anxiety and other unpleasant symptoms. indeed these symptoms are the symptoms of withdrawal from cigarettes. what's more over time more and more nicotine is desired to produce the favorable effects and to avoid the symptoms of withdrawal.,['smoking'],wmd
what causes a common cold?,the rhinovirus (or other cold virus) enters your body through your nose or mouth and is easily spread when you touch someone or touch common objects contaminated with a cold virus (the computer keyboard or mouse the telephone receiver a doorknob or eating utensils). if you aren't cautious about hand washing you can spread the common cold to family friends co-workers and people you've never met at a restaurant or the supermarket. of course if someone with a cold or flu sneezes or coughs around you the virus can spread that way too. while getting chilled or wet is not a cause of common colds there are factors that make you more susceptible to catching a cold virus. for example you are more likely to catch a common cold if you are excessively fatigued have emotional distress or have allergies with nose and throat symptoms.,"['cold', 'coldness']",wmd
where can i find information regarding possible connection between ptsd and shingles? . i have ptsd from being a radar air traffic controller. i also have had shingles for 2 yrs. is there any evidence that ptsd may precipitate shingles due to the negative impact ptsd can have on one's immune system?,hi first this is from earth clinic on shingles do look at teds answers theres a lot more there apart from the main page.  this parts on ptsd but there is not much.  but there is quite a lot if you just google ptsd and shingles. but had this thought and just think it may help you have you ever thought of meditation as a possible way to get you over ptsd have a read of this link.  its just one of many if you google ptsd and meditation. all these links you just copy into google one at a time to the www. to open and read. do hope something here helps you. good luck,"['shingles', 'immune system']",wmd
i have a first time sex experience 23 aged boy using a condom but i just ejaculated even bofore inserting into her why? . i real felt bad her vagina seem to be small because i tried inserting into her but couldnt! untill i ejaculated and that was the end of the story. i waited for sometime for my penis to get strong again but the same thing happened. can a condom be the problem? what should i do to make me enjoy sex and let her enjoy as well?,if it was your first time it is possible that you have anitcipated the event for so long that you were over excited this is normal for young men keep practicing.,"['sexual intercourse', 'ejaculation', 'penis', 'vagina', 'condom']",wmd
can c6 herniation cause incontinence,no. the nerves from this area go to the arms.,['incontinence'],wmd
"can i lift, push, or pull objects after a catheter ablation procedure?","dont lift, push, or pull any objects heavier than 10 pounds for about a week after your ablation. that means not doing things like mowing the lawn.",[ Atrial Fibrillation ],add
is webmd an obamacare contractor? . is webmd being paid by the obama administration to post propaganda for the affordable health care act?,webmd has a responsibility to provide independent trusted news and information that helps consumers and physicians make informed decisions about health and wellness. consistent with respected news organizations webmd has an editorial organization that produces content in accordance with well-established editorial policies and practices. the strict editorial practices we have in place ensure that the content we produce is unbiased and done so independent of any third party involvement or control. webmd also provides advertising and sponsorship opportunities to public and private sector customers that want to reach our consumer or physician audiences. cms and other government agencies have sponsored programs and advertised on our sites and in those cases the content or advertising is clearly marked as paid for by these agencies.,['obamacare'],wmd
when bottle-feeding should my baby be upright or lying down?,[a] common bottle-feeding problem is the way parents position babies:some lie them completely flat which can make babies choke when feeding on the bottle. so be sure to have your baby semi-inclined or upright.,"['baby', 'feeding']",wmd
three month we were having sex but her vagina is too loose as same as before? is she having sex with oters guys?,ask her. don't just assume that her vagina will reveal her recent sexual past while you were not together. did you have some sort of an understanding that she would not date or have sex with others while you were absent? were you celibate for the last three months? if either one of you have had unprotected sex it is std screening that should be your major concern.,"['sexual intercourse', 'vagina']",wmd
when should you see a doctor about a yeast infection?,see a doctor if:,[ Women's Health ],add
what exercise does not aggravate achilles tendonitis? . i am trying to rest my achilles so i can return to playing tennis. in the meantime i want to exercise to stay in shape. what types of exercise can i do?,hi sorry for being so short an answer. swimming its low impact. good luck,"['tendonitis', 'exercise']",wmd
i have cramping and diarrhea for 2 weeks now?,it could be gastroenteritis. metronidazole 500mg tab 3daily tabs for 5 days. drink plenty of water and avoid high sugar products and uncooked food.,['cramping and diarrhea'],qd
problems sleeping. but worried that i might get dependent on sleeping pills,hi dear. i really understand your concern and more so because i have been a medical student too and know how stressful the life is. at your age the only reason for not getting sound sleep is stress and anxiety. no pill/tablet/medicine will cure it comletely and permanently. so as u do try not getting dependant on such pills. u need to overcome the stress and anxiety the natural way through yoga and meditation. a councellor may be of more help to you. dont worry you will be fine soon. thanks,['sleeping disorders'],qd
is it likely to be pregnant after plan b pill and two regular periods?,hi first have you done any hpt tests or been to your doctor for a test? ok some women can go through there whole pregnancy having there monthly periods they may not be as heavy but yes it can happen. so get a test done and take it from there. do hope this helps? good luck,"['pregnancy', 'period']",wmd
do stitches need to stay in longer if a cut gets infected? . my son in law doesn't have insurance and cut his forearm with hedge trimmers. he went to the er to get stitches. they stitched him up and gave him a tetness shot. they told him to see his doctor in 10 days to get the stitches removed. a few days later he had to go back to get an antibiotic. do the stitches need to stay in longer. he does not want to go somewhere to get them removed if they have to stay in longer. he doesn't want to have two more additional medical bills. thank you!,hi if the wound now looks as though its healed up nicely he should be able to take his own stitch's out he just needs a scalpel blade a pair of tweezers he just cuts each stitch ones at a time and slowly pulls them out then wash with warm sea salt water could do it a couple of times a day for a couple of days this will help clean and heal the stitch marks. good luck,"['forearm', 'injection', 'insurance', 'antibiotic', 'stitches']",wmd
is benazepril hcl 40 mg tab is beta blocker? . i need to know because i am having ischemi pet scan tomorrow at 1pm thanks. luisa my email address; luisabburkett@gmail. com. thank you,no it is not a beta blocker. it is in the class of blood pressure drugs called an ace inhibitor plus a diuretic.,"['beta blocker', 'positron emission tomography scan']",wmd
what should i do to prepare for a stress echo?,if you are scheduled for a dobutamine stress echo and you have a pacemaker please contact your doctor for specific instructions. your device may need to be checked before the test. on the day of the stress echocardiogram do not eat or drink anything except water for four hours before the test. do not drink or eat caffeine products (cola chocolate coffee tea) for 24 hours before the test. caffeine will interfere with the results of your test. do not take any over-the-counter medications that contain caffeine for 24 hours before the test. ask your doctor pharmacist or nurse if you have questions about medications that may contain caffeine. do not take the following heart medications for 24 hours before your test unless your doctor tells you otherwise or unless the medication is needed to treat chest discomfort: beta-blockers (for example tenormin lopressor toprol or inderal) isosorbide dinitrate (for example isordil sorbitrate) isosorbide mononitrate (for example ismo indur monoket) nitroglycerin (for example deponit nitrostat nitropatches) your doctor may also ask you to stop taking other heart medications on the day of your test. if you have any questions about your medications ask your doctor. do not discontinue any medication without first talking with your doctor. if you use an inhaler for your breathing please bring it with you.,['stress'],wmd
dry itchy patches on my face need second doctor opinion?,it is not rosacea. it looks like seborrheic eczema. try using over-the-counter (otc) antifungal and anti-itch creams using hypoallergenic soap and detergent thoroughly rinsing soap and shampoo off the skin and scalp. light therapy can also help.,"['dry', 'itchy patches on my face']",qd
how do you reduce a fever in a toddler? (19 months old). my 19 month old has had a fever going on 2 days now. the highest it's been is 101. 1 and we have given her tylenol to reduce it but it always comes back. also tried a cool wash cloth but she cried and cried during a lukewarm bath. she has very little appetite but she is still drinking juice. after a dosage of tylenol she begins to act normal but after some time will become fussy again. her chest and back as well as her forehead get really warm when the fever returns.,you do not have to treat a fever especially one this low. fever is the body's normal response to fighting off an infection or inflammation. it is okay to give her some ibuprofen (much better than acetaminophen/tylenol) to make her feel better but you do not have to treat a fever. fevers are not only harmless they are therapeutic. the cause of a fever can be in the thousands so please see her medical provider if she continues to be ill after two more days or any time that you feel it is needed.,"['chest', 'forehead', 'acetaminophen', 'fever', 'juice']",wmd
can cold air blowing directly on a body part cause cellulitis of that area?,no. cold are blowing on a body part will just make that part cold. it will not cause an infection.,"['cellulitis', 'coldness']",wmd
should i keep on going to the doctor for being sick and in pain if they can never find out why and send me on my way? . i have been getting sick everyother week for 6 months now. infections colds stomach bugs and viruses. now i have been sick for four weeks now with a viruses (i think a viruse doctors not stright forward and it always different) and my ribs on my left side are in so much pain i can't drive i can't get out of bed without help i am in pain all day long and ibuprofen only makes my breathing less painful. i dont want more anymore antibiotics. that feels like all an md can do is antibiotics.,my short answer to your question is this: i'd suggest you continue going to the doctor but i'd go to a different doctor. many conditions can take a long time to diagnose. sometimes you have to visit many doctors over the course of years to obtain a diagnosis. so no you should not give up. if you've been seeing a general medicine doctor (like a primary care provider) try finding an internal medicine specialist instead. take a copy of your medical records with you and keep a written log of your symptoms on a daily basis. this data can help reveal patterns in your symptoms that help lead to a diagnosis. i wish you all the best as you persevere in discovering what's causing you to feel so ill all the time.,"['cold', 'ibuprofen', 'virus', 'antibiotic']",wmd
how can i prevent my teeth from ripping the tissue under my tongue at night? i have bruxism and wear guards.,you should talk to your dentist about this. i do not know what type of night guard you have but there are appliances that can be designed to protect your tissues from your teeth. in addition the rough edges of the teeth can be smoothed out so that they do not damage your mouth. all of this can and should be evaluated by a dental professional.,"['tongue', 'tooth', 'bruxism']",wmd
my wifes latest ultra sound shows 4 cysts in her ovary what are chances for (ivf) in vitro fertilization?,hi my opinion is that your success rate is 60% which is great do it with no delay as success rate will drop after the age of 35 good luck,['chances for (ivf) in vitro fertilization'],qd
when to eat after insulin injection? also how much to eat after your insulin injection?,you should eat a meal within 15 minutes after taking your insulin. you should eat a meal that is light in carbs and calories. at breakfast you should eat a scrabbled egg toast small orange juice skim milk. for lunch small green salad with a light salad dressing turkey sandwich with one slice of mozarella cheese unsweetened tea. for dinner turkey sandwich half an apple and skim milk.,"['insulin', 'injection']",wmd
i took hiv western blot test. the result is negative do i have the risk hiv. i had protected sex with a sex worker i changed condoms twice during intercourse as i was scared about exposure to hiv so i took below test for hiv on 5 th day after sex and result was negative. hiv abs western blot. hiv 1 negative. hiv 2 negative. do i have the risk of hiv should i go for further testing,no till now you are safe. continue safe sex,"['hiv', 'exposure', 'western blot test', 'fear', 'condom']",wmd
what does black stool mean. ulcer history. passing out removal of 25% of my stomach. i was recently diagnosed with fibromyalgia and pretty much have pain everywhere. had a bad reaction to gabapentin and have had no medications (except depression/anxiety) since wednesday (dr. is too busy) and it is now sunday. no appetite. have to force myself to eat. nothing tastes right. drinking a lot of water constantly thirsty. pooping is painful very dark almost grassy like. from mashed potatoes to watery. suggestions?,hi sorry your getting so much pain but see if this helps its from www. earthclinic. con ok its acv (apple coder vinegar) high dose magnesium l-carnitine and you could add as a try boric acid ask for it the chemist its a 1/4 teaspoon in a litre of water just drink through the day. but there's lots more on site just look under ailments under f. as for your clay coloured stools that your gallbladder playing up for this do a gall bladder flush very simple to do see blow. 7 day gallstone flush. i forgot where i got this from my family has used it for years with success. my daughter was told she needed gallstone surgery some years back but used this flush instead. she passed the stones and didn't need the gallstone surgery. i don't know about you but i believe my gallbladder has a purpose for being there and i'd like to keep it. - ingredients:. apple juice. grapefruit juice (canned is ok). . lemon juice fresh squeezed is better. epsom salts. extra virgin olive oil (the green coloured oil)  monday through saturday drink all the apple juice you can with your regular diet. on saturday 3 hours after lunch dissolve 2 teaspoons epsom salts in a small glass of hot water and drink it followed by a glass of grapefruit juice. repeat the epsom salt hot water procedure in 2 hours. eat nothing for dinner except a half a grapefruit and a glass of grapefruit juice. just before going to bed mix 1/2 cup of warm olive oil with 1/2 cup of grapefruit juice and drink it. follow that with 1/2 cup olive oil mixed with 1/2 cup of lemon juice. then go straight to bed lying on your right side with your right knee pulled up as close to your chest as possible for a half hour. on sunday morning take 2 more teaspoons of epsom salts in a small amount of hot water at least an hour before eating breakfast. that mornings bowel movement will contains small green irregular shaped cholesterol stones some just smaller than the size of cherries. i know this is tough but it has worked really well for my family. hope it works well for you. grannyjo also from earthclinic the last day don't make any plans to be to far away from your toilet your find out why? hope this helps you. good luck,"['stomach', 'fibromyalgia', 'pain', 'reaction', 'depression']",wmd
i had sex and the next day i ovulate can i be pregnant,the life span of sperm after ejaculation depends on the circumstances. sperm ejaculated into a woman's vagina can live in a woman's cervical mucus or upper genital tract for three to five days. fertilization is possible as long as the sperm remain alive. so it is possible that u may get pregnant,"['sexual intercourse', 'pregnancy', 'ovulation']",wmd
do antibiotics really expire? . i have cipro for what i think is diverticulitis. the antibiotic i have says it expired 10 months ago. do i need to get new meds?,i have to say that medications are not the same as milk. they won't sour in most cases but beyond their expiration date they may lose some potency especially if they have not be stored properly. your cipro may be okay but i would advise you to check with your pharmacist first.,['antibiotic'],wmd
what are the health benefits of green tea?,while the curative power of green tea has been touted for centuries science is finally starting to catch up! the benefits of green tea come from antioxidants (polyphenols) that protect cells from free radicals and also may help prevent plaque buildup in the arteries. studies indicate an association between green tea consumption and reduced risk of heart disease and cancer. it's important to remember that green tea also contains caffeine.,[],wmd
for over a year my urine has smelled of sulphur?,hi this can be due to chronic cystitis. consult a urologist and get urine culture done. a retrograde cystoscopy examination will be helpful to rule out other conditions. thanks,['for over a year my urine has smelled of sulphur'],qd
im 31 years old ive been diagnosed with digital papillary carcinoma what are the treatments?,in most cases a wide surgical excision and removal of the entire tumor is the preferred treatment option. this may be followed by radiation therapy and/or chemotherapy if the tumor has metastasized then a combination of chemotherapy radiation therapy and invasive procedures may be used to treat the tumor follow-up care with regular screening and check-ups are important and encouraged,['diagnosed with digital papillary carcinoma'],qd
whats the difference between percocet oral and endocet oral?,endocet is a generic version of percocet. it is manufactured by endo pharmaceuticals and it is an fda approved generic so there is no difference between the two. if you have any questions about generics ask your pharmacist we are happy to help. i think that endocets is stronger than percocets,[],wmd
i am suffering from dizziness and low bp. shall i continue atenolol 50 mg?,i would like to ask a few questions. do you ever complain of chest pain associated with palpitation? is there any family history of heart disease? since how long you are taking atenolol? do have complained of shortness of breath or edema over legs and feet? i would like you to get the following tests done. echo to check the pumping action of the heart and ecg. your triglycerides are on the higher side. my advise is atorvas 20 mg (atorvastatin) once daily after meals for a month. consult your specialist doctor discuss with him or her and alter the dosage of atenolol and get your bp monitored regularly. investigations to be done:ecg and echo. regarding follow up:revert back with the answers to the above questions to a cardiologist online. - ,['blood pressure monitor'],ic
